Author,Title,Discovery,Links
Inada et al. 2012 [AstronJ143(2012)119],The Sloan Digital Sky Survey Quasar Lens Search. V. Final Catalog from the Seventh Data Release,,http://admin.masterlens.org/citation.php?referenceID=295&
Sluse et al. 2012 [A&A544(2012)A62],Microlensing of the broad line region in 17 lensed quasars,,http://admin.masterlens.org/citation.php?referenceID=297&
Mosquera et al. 2011 [ApJ738(2011)96],The Microlensing Properties of a Sample of 87 Lensed Quasars,,http://admin.masterlens.org/citation.php?referenceID=238&
Fadely et al. 2011 [AstronJ141(2011)101],Near-infrared K and L' Flux Ratios in Six Lensed Quasars,,http://admin.masterlens.org/citation.php?referenceID=756&
Fassnacht et al. 2011 [MNRAS410(2011)2167],Galaxy number counts and implications for strong lensing,,http://admin.masterlens.org/citation.php?referenceID=582&
Assef et al. 2011 [ApJ742(2011)93],Black Hole Mass Estimates Based on C IV are Consistent with Those Based on the Balmer Lines,,http://admin.masterlens.org/citation.php?referenceID=752&
Schneider et al. 2010 [AstronJ139(2010)2360],The Sloan Digital Sky Survey Quasar Catalog. V. Seventh Data Release,,http://admin.masterlens.org/citation.php?referenceID=353&
Inada et al. 2010 [AstronJ140(2010)403],The Sloan Digital Sky Survey Quasar Lens Search. IV. Statistical Lens Sample from the Fifth Data Release,,http://admin.masterlens.org/citation.php?referenceID=974&
Inada et al. 2008 [AstronJ135(2008)496],The Sloan Digital Sky Survey Quasar Lens Search. II. Statistical Lens Sample from the Third Data Release,,http://admin.masterlens.org/citation.php?referenceID=64&
Eigenbrod et al. 2007 [A&A465(2007)51],COSMOGRAIL:  the COSmological MOnitoring of GRAvItational Lenses. VI. Redshift of the lensing galaxy in seven gravitationally lensed quasars,,http://admin.masterlens.org/citation.php?referenceID=262&
Trump et al. 2006 [ApJS165(2006)1],A Catalog of Broad Absorption Line Quasars from the Sloan Digital Sky Survey Third Data Release,,http://admin.masterlens.org/citation.php?referenceID=976&
Inada et al. 2005 [AstronJ130(2005)1967],SDSS J024634.11-082536.2: A New Gravitationally Lensed Quasar from the Sloan Digital Sky Survey,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=3&
