Author,Title,Discovery,Links
Sonnenfeld et al. 2013 [arXiv1307.4759],"The  SL2S Galaxy-scale Lens Sample. IV. The dependence of the total mass density profile of early-type galaxies on redshift, stellar mass, and size",,http://admin.masterlens.org/citation.php?referenceID=4316&
Sonnenfeld et al. 2013 [arXiv1307.4764],"The SL2S Galaxy-scale Lens Sample. III. Lens Models, Surface Photometry and Stellar Masses for the final sample",,http://admin.masterlens.org/citation.php?referenceID=4315&
Faure 2011 [A&A529(2011)72],On the evolution of environmental and mass properties of strong lens galaxies in COSMOS,,http://admin.masterlens.org/citation.php?referenceID=141&
Anguita et al. 2009 [A&A507(2009)35],COSMOS 5921+0638: characterization and analysis of a new strong gravitationally lensed AGN,,http://admin.masterlens.org/citation.php?referenceID=14&
Faure et al. 2008 [ApJS176(2008)19],First Catalog of Strong Lens Candidates in the COSMOS Field,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=139&
