Time Delays:,Time Delays:
Image -- Image,Time Delay (days)
(2) -- (3),0.003
(2) -- (4),0.02
(3) -- (4),0.02
(1) -- (2),0.3
(1) -- (3),0.3
(1) -- (4),0.3
