,Name,RA(deg)_c,Dec(deg)_c,E(B-V)_c,FGHz (mJy)_c,Nimages_c,size(arccsec)_c,sigma (km/s)_c,id_c,Discovery,Discovery Date,Lens Kind,Lens Grade,Description,N Images,Einstein_R,Einstein_R quality,Stellar_v_disp,Stellar_v_disp_err,Ra(deg)_ml,Dec(deg)_ml,Alternate Names
51,SDSS1155+6346,178.82229166666664,63.772777777777776,0.013999999999999999,,2,1.95,,51.0,,,,,,,,,,,,,
52,B1152+200,178.82624999999996,19.66172222222222,0.031,F5=76,2,1.59,,52.0,,,,,,,,,,,,,
53,SDSS1206+4332,181.62354166666665,43.53822222222222,0.013999999999999999,,2,2.9,,53.0,,,,,,,,,,,,,
54,Q1208+101,182.73816666666664,9.907111111111112,0.022000000000000002,,2,0.48,,54.0,,,,,,,,,,,,,
55,SDSS1226-0006,186.53374999999997,-0.10055555555555556,0.024,,2,1.26,,55.0,,,,,,,,,,,,,
56,HST12368+6212,189.20416666666662,62.20611111111111,0.012,,2E,1.17,,56.0,,,,,,,,,,,,,
57,HST12531-2914,193.27791666666664,-29.241666666666667,0.079,,4,1.23,,57.0,,,,,,,,,,,,,
58,SDSS1332+0347,203.09425,3.7944166666666663,0.026000000000000002,,2,1.14,,58.0,,,,,,,,,,,,,
59,LBQS1333+0113,203.89495833333334,1.3015277777777778,0.024,,2,1.63,,59.0,,,,,,,,,,,,,
60,SDSS1353+1138,208.2764583333333,11.634638888888889,0.026000000000000002,,2,1.41,,60.0,,,,,,,,,,,,,
61,Q1355-2257,208.93074999999996,-22.95636111111111,0.07200000000000001,,2,1.23,,61.0,,,,,,,,,,,,,
62,B1359+154,210.39812499999996,15.223777777777778,0.019,F5=66,6,1.71,,62.0,,,,,,,,,,,,,
63,SDSS1402+6321,210.6175833333333,63.35925,0.017,,4,1.35,267±17,63.0,,,,,,,,,,,,,
64,SDSS1406+6126,211.60341666666665,61.444694444444444,0.015,,4,1.98,,64.0,,,,,,,,,,,,,
65,HST14113+5211,212.83166666666665,52.19138888888889,0.016,,4,1.8,,65.0,,,,,,,,,,,,,
66,H1413+117,213.9433333333333,11.494833333333332,0.024,F5~0.1,4,1.35,,66.0,,,,,,,,,,,,,
67,HST14164+5215,214.105,52.24194444444444,0.013000000000000001,,2,2.24,,67.0,,,,,,,,,,,,,
68,HST14176+5226,214.40212499999996,52.44444444444444,0.006999999999999999,,4,2.83,230±14,68.0,,,,,,,,,,,,,
69,B1422+231,216.15870833333332,22.9335,0.048,F5=557,4E,1.68,,69.0,,,,,,,,,,,,,
70,SBS1520+530,230.43679166666664,52.9135,0.016,,2,1.59,,70.0,,,,,,,,,,,,,
71,HST15433+5352,235.8370833333333,53.864444444444445,0.012,,2R,1.18,108±14,71.0,,,,,,,,,,,,,
72,MG1549+3047,237.30154166666662,30.787944444444445,0.028999999999999998,F5=185,R,1.7,227±18,72.0,,,,,,,,,,,,,
73,B1555+375,239.29970833333329,37.359972222222225,0.022000000000000002,F5=35,4,0.42,,73.0,,,,,,,,,,,,,
74,B1600+434,240.4185416666666,43.279944444444446,0.013000000000000001,F5=132,2,1.4,,74.0,,,,,,,,,,,,,
75,B1608+656,242.3081666666666,65.54138888888889,0.031,F5=73.2,4,2.27,247±35,75.0,,,,,,,,,,,,,
76,HST16302+8230,247.55375,82.49972222222222,0.087,,2R,1.47,,76.0,,,,,,,,,,,,,
77,HST16309+8230,247.7195833333333,82.50333333333333,0.087,,2E,0.76,,77.0,,,,,,,,,,,,,
78,PMNJ1632-0033,248.24033333333333,-0.5558611111111111,0.098,F5=227,2R,1.47,,78.0,,,,,,,,,,,,,
79,FBQ1633+3134,248.45412499999998,31.569972222222223,0.03,,2,0.75,,79.0,,,,,,,,,,,,,
80,SDSS1650+4251,252.68099999999993,42.862500000000004,0.016,,2,1.23,,80.0,,,,,,,,,,,,,
81,MG1654+1346,253.67429166666662,13.772777777777778,0.061,F5=130.0,R,2.1,,81.0,,,,,,,,,,,,,
82,HST18078+4600,271.9445833333333,45.99888888888889,0.037000000000000005,,2E,0.91,,82.0,,,,,,,,,,,,,
83,PKS1830-211,278.41641666666663,-21.061027777777777,0.46399999999999997,F2~10^4,2ER,0.99,,83.0,,,,,,,,,,,,,
84,PMNJ1838-3427,279.61875,-34.461555555555556,0.125,F5=213,2R,0.99,,84.0,,,,,,,,,,,,,
85,B1933+503,293.6289583333333,50.42322222222222,0.095,F5=59,10,1.0,,85.0,,,,,,,,,,,,,
86,B1938+666,294.6049583333333,66.8145,0.121,F5=316,R,1.0,,86.0,,,,,,,,,,,,,
87,PMNJ2004-1349,301.02945833333325,-13.825194444444444,0.20199999999999999,F5=34,2R,1.18,,87.0,,,,,,,,,,,,,
88,MG2016+112,304.82562499999995,11.452305555555554,0.235,F5=84.6,2E,3.52,304±27,88.0,,,,,,,,,,,,,
89,WFI2026-4536,306.5434583333333,-45.607527777777776,0.040999999999999995,,4,1.34,,89.0,,,,,,,,,,,,,
90,WFI2033-4723,308.4253333333333,-47.39527777777778,0.047,,4,2.33,,90.0,,,,,,,,,,,,,
91,B2045+265,311.83479166666666,26.733666666666668,0.23199999999999998,,4,2.74,,91.0,,,,,,,,,,,,,
92,B2108+213,317.7250833333333,21.516861111111112,0.161,F8=19,2,4.57,,92.0,,,,,,,,,,,,,
93,B2114+022,319.21145833333327,2.4296944444444444,0.07200000000000001,F5=141,2+2?,1.31,,93.0,,,,,,,,,,,,,
94,HE2149-2745,328.031,-27.53061111111111,0.032,,2,1.7,,94.0,,,,,,,,,,,,,
95,CY2201-3201,330.3866666666666,-32.028888888888886,0.027999999999999997,,2,0.83,130±20,95.0,,,,,,,,,,,,,
96,HDFS2232509-603243,338.21208333333334,-60.54527777777778,0.027999999999999997,,4?E,0.9,,96.0,,,,,,,,,,,,,
97,Q2237+030,340.12641666666667,3.358,0.071,F5=0.336,4,1.78,215±30,97.0,,,,,,,,,,,,,
98,B2319+052,350.41999999999996,5.460111111111111,0.064,F5=32,2,1.36,,98.0,,,,,,,,,,,,,
99,PSS2322+1944,350.53,19.739722222222223,0.044000000000000004,,2,1.49,,99.0,,,,,,,,,,,,,
100,SDSS J0008-0004,,,,,,,,,SLACS,2008-08-01,GAL-GAL,A,Luminous red galaxy lensing three background objects.,3.0,1.16,SIE model,232.0,39.0,2.01231,-0.06896000000000001,
101,ACS J001423.02-302109.8,,,,,,,,,Serendipitous,2012-06-15,GAL-GAL,B,Arc,1.0,1.52,SIE model,,,3.595917,-30.352721999999996,
102,ACS J001426.26-302255.9,,,,,,,,,Serendipitous,2012-06-15,GAL-GAL,A,Arc,1.0,1.0,SIE model,,,3.6094169999999997,-30.382194000000002,
103,CSWA 21,,,,,,,,,CASSOWARY,2007-06,GAL-GAL,A,"This  system is the brightest Lyman Break Galaxy (LBG); it was dubbed the ""8 o'clock arc"" due to the time of its discovery. It consists of three lensed images of the LBG and a fourth image - a counter-image.",4.0,2.91,SIE model,397.0,55.0,5.67049154,14.51956525,8 O'Clock Arc
104,SDSS J0029-0055,,,,,,,,,SLACS,2008-08-01,GAL-GAL,A,Luminous  red galaxy lensing two background sources. The most obvious feature of  the lensed emission is a (nearly) complete Einstein ring.,2.0,0.96,SIE model,202.0,18.0,7.2824,-0.93071,
105,Abell 68,,,,,,,,,Serendipitous,2007-06-01,XRAY-CLUST,A,,8.0,7.5,Reference redshift,,,9.271704,9.163992,A68
106,SDSS J0044+0113,,,,,,,,,SLACS,2008-08,GAL-GAL,A,Comments on IFU+HST Data: Clear coincidence of IFU line emission and HST lensed features.,2.0,0.79,SIE model,254.0,12.0,11.012080000000001,1.2201799999999998,
107,Q0047-2808,,,,,,,,,Serendipitous,1996-01-01,GAL-QSO,A,Bright Einstein ring-like feature. The source object is not strictly identified as a QSO. Narrow [OIII] and slightly broader Ly alpha lines are detected.,4.0,1.34,,219.0,12.0,12.4247466667,-27.874019721999996,ER 0047-2808
108,HE0047-1756,,,,,,,,,HE survey,2004-05-01,GAL-QSO,A,The  newly discovered double QSO HE 0047−1756 displays several properties that make it a showpiece gravitationally lensed object rather than a binary QSO: The identical (within ±30 km s−1) redshifts of the two quasar images; the similar emission line proﬁles; the detection of a galaxy located between the two QSO components; and the tentative discovery of a partial Einstein ring.,2.0,0.7509999999999999,SIE model,,,12.6155,-17.66889,
109,SDSS J0109+1500,,,,,,,,,SLACS,2008-08,GAL-GAL,A,,1.0,0.69,SIE model,243.0,18.0,17.390539999999998,15.00903,
110,SL2S J020210-110912,,,,,,,,,SL2S,2011-09-08,GRP-GAL,A,,0.0,,,,,30.54375,-11.153244,SA2
111,CSWA 22,,,,,,,,,CASSOWARY,2007-05-01,GAL-GAL,A,"The SDSS spectrum shows two objects superimposed, the z = 0.44 galaxy and a star. Cataloged at http://www.ast.cam.ac.uk/ioa/research/cassowary/",3.0,,,,,26.73337065,-9.49791496,Hall's Arc
112,SL2S J020929-064311,,,,,,,,,SL2S,2011-09-08,GRP-GAL,A,,0.0,,,,,32.372207,-6.7197942,SA14
113,SL2SJ021247-055552,,,,,,,,,SL2S,2013-07-01,GAL-GAL,A,,3.0,1.27,SIE model,267.0,17.0,33.199292,-5.931166999999999,
114,SL2S J021408-053532,,,,,,,,,SL2S,2006-06-12,GRP-GAL,A,,0.0,,,,,33.533626,-5.592330400000001,SA22
115,SL2S J021411-040502,,,,,,,,,SL2S,2010-08-18,GAL-GAL,A,"The  source has two bright lens components, one of which is lensed into the big arc and its fainter counter-image. The second component forms a double image of smaller magnification. This lens was modeled in Paper I [Gavazzi et al. 2012] with two lens models, each with a different Einstein radii, that match the image configuration. The pixelized source  reconstruction technique adopted in Paper III [Sonnenfeld et al. 2013] to model the lens favors the solution alternative to the one chosen in Paper I.",2.0,1.41,SIE model,289.0,16.0,33.5467033,-4.0841055,"SL2S J021411-040503,SA23, SL2S J021411.21-040502.8"
116,SDSS J0216-0813,,,,,,,,,SLACS,2006-02,GAL-GAL,A,"A faint but deﬁnite counterimage is seen to the NE in both bands in this system, opposite the more obvious extended arc.",3.0,1.16,SIE model,332.0,24.0,34.21893,-8.22927,
117,SL2S J021737-051329,,,,,,,,,SL2S,2009-02-27,GAL-GAL,A,"This  lens system is in a cusp configuration, meaning that the source lies just within one of the four cusps of the asteroid caustic of the lens. Either a mass centroid offset from the light center or a large shear is required to match the curvature of the big arc. We found the amount of external shear to be 0.11 plus or minus 0.01.",2.0,1.27,SIE model,257.0,26.0,34.4049225,-5.2248211,"SL2S J02176-0513, UDS-01, SL2S J021737.18-051329.4"
118,SL2S J021902-082934,,,,,,,,,SL2S,2010-08-18,GAL-GAL,A,,2.0,1.3,SIE model,300.0,23.0,34.7589417,-8.4929924,
119,SL2S J022151-064733,,,,,,,,,SL2S,2011-09-08,GRP-GAL,A,,0.0,,,,,35.463249,-6.7924055999999995,"SA39, DES J0221-0646"
120,SL2S J022511-045433,,,,,,,,,SL2S,2010-08-18,GAL-GAL,A,,0.0,1.77,SIE model,241.0,12.0,36.296005,-4.9092998,"SL2S J022511-045434, SA48, SL2S J022511.04-045433.5"
