ra,dec,Lens Name,zs,zl,RA (J2000),Dec (J2000),E(B-V),ms (mag),ml (mag),FGHz (mJy),Nim,"size ("")",dt (days),sigma (km/s),img_path,Name,Discovery,Discovery Date,Lens Kind,Lens Grade,Description,N Images,Einstein_R,Einstein_R quality,Stellar_v_disp,Stellar_v_disp_err,Ra(deg)_ml,Dec(deg)_ml,Alternate Names,isReal,Target
22.805854166666663,43.97031666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
33.5467033,-4.0841055,HS0818+1227,3.115,0.39,125.41291666666666,12.29138888888889,0.031,I=18.54/2,I=19.07,,2,2.83,,,"['HS0818I.gif', 'HS0818H.gif', 'HS0818Vcc.gif', 'HS0818V.gif', 'HS0818Hcc.gif', 'HS0818Icc.gif']",,,,,,,,,,,,,,,1,1
36.296005,-4.9092998,J0332-2756,2.65,0.617,53.159249999999986,-27.948027777777778,0.008,V=-1.95/6,V=20.74,F1.7=7,2E,3.64,,,"['J1004H.gif', 'J1004I.gif', 'J1004Vcc.gif', 'J1004Icc.gif', 'J1004V.gif', 'J1004Hcc.gif']",,,,,,,,,,,,,,,1,1
154.35054166666663,-20.783444444444445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
166.63937499999997,-18.356722222222224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
193.27791666666664,-29.241666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
208.93074999999996,-22.95636111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
172.96499999999997,-12.5325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
328.031,-27.53061111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
278.41641666666663,-21.061027777777777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
301.02945833333325,-13.825194444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
63.65416999999999,5.57897,PMNJ1632-0033,3.424,(0.78),248.24033333333333,-0.5558611111111111,0.098,I=20.68/2,I=23.41,F5=227,2R,1.47,,,"['PMN1632I.gif', 'PMN1632Icc.gif', 'PMN1632Hcc.gif', 'PMN1632H.gif', 'PMN1632Vcc.gif', 'PMN1632V.gif']",,,,,,,,,,,,,,,1,1
153.0654583333333,-3.1172222222222223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
7.2824,-0.93071,B1600+434,1.59,0.41,240.4185416666666,43.279944444444446,0.013000000000000001,I=20.87/2,I=20.78,F5=132,2,1.4,51.0±2.0,247±35,"['B1600H.gif', 'B1600V.gif', 'B1600Icc.gif', 'B1600I.gif', 'B1600Vcc.gif', 'B1600.gif', 'B1600Hcc.gif']",,,,,,,,,,,,,,,1,1
