58,3.7944166666666663,1,SDSS1332+0347,203.09425
82,45.99888888888889,1,HST18078+4600,271.9445833333333
63,63.35925,1,SDSS1402+6321,210.6175833333333
49,4.9305,1,MG1131+0456,172.98533333333333
67,52.24194444444444,1,HST14164+5215,214.105
27,50.472,1,SDSS0903+5028,135.8955
149,41.2121094213,2,,151.143142867
24,12.29138888888889,1,HS0818+1227,125.41291666666666
114,-5.592330400000001,2,,33.533626
129,32.27183,2,,114.36855
92,21.516861111111112,1,B2108+213,317.7250833333333
83,-21.061027777777777,1,PKS1830-211,278.41641666666663
72,30.787944444444445,1,MG1549+3047,237.30154166666662
0,-27.873805555555556,1,Q0047-2808,12.424541666666665
8,35.93716111111111,1,B0218+357,35.27284583333333
94,-27.53061111111111,1,HE2149-2745,328.031
30,45.48455555555556,1,RXJ0921+4529,140.303375
118,-8.4929924,2,,34.7589417
81,13.772777777777778,1,MG1654+1346,253.67429166666662
11,0.10058333333333334,1,CFRS03.1077,45.62874999999999
120,-4.9092998,2,,36.296005
26,5.25425,1,B0850+054,133.22325
111,-9.49791496,2,,26.73337065
89,-45.607527777777776,1,WFI2026-4536,306.5434583333333
66,11.494833333333332,1,H1413+117,213.9433333333333
113,-5.931166999999999,2,,33.199292
143,-1.50139,2,,148.75
23,25.750888888888888,1,HS0810+2554,123.38041666666665
147,2.6927351,2,,150.15948
73,37.359972222222225,1,B1555+375,239.29970833333329
64,61.444694444444444,1,SDSS1406+6126,211.60341666666665
126,5.57897,2,,63.65416999999999
31,2.323583333333333,1,SDSS0924+0219,141.23279166666666
127,-12.28722,2,,69.5615
100,-0.06896000000000001,2,,2.01231
140,27.347509999999996,2,,139.85927
75,65.54138888888889,1,B1608+656,242.3081666666666
50,3.2494444444444444,1,SDSS1138+0314,174.51541666666662
97,3.358,1,Q2237+030,340.12641666666667
36,12.489527777777777,1,J1004+1229,151.10375
1,-17.66911111111111,1,HE0047-1756,12.615958333333333
119,-6.7924055999999995,2,,35.463249
46,7.7660277777777775,1,PG1115+080,169.57083333333333
80,42.862500000000004,1,SDSS1650+4251,252.68099999999993
41,49.22511111111111,1,SDSS1021+4913,155.29591666666664
18,47.14722222222222,1,B0712+472,109.01491666666665
20,44.064249999999994,1,SDSS0746+4403,116.72095833333331
107,-27.874019721999996,2,,12.4247466667
57,-29.241666666666667,1,HST12531-2914,193.27791666666664
40,-20.783444444444445,1,Q1017-207,154.35054166666663
28,5.847777777777777,1,RXJ0911+0551,137.86458333333334
42,47.153055555555554,1,FSC10214+4724,156.14416666666665
137,17.775539000000002,2,,137.796988
68,52.44444444444444,1,HST14176+5226,214.40212499999996
10,-8.426722222222221,1,SDSS0246-0825,41.64212499999999
62,15.223777777777778,1,B1359+154,210.39812499999996
34,55.89705555555555,1,Q0957+561,150.33658333333332
33,-1.5013888888888889,1,BRI0952-0115,148.75004166666665
132,39.439353000000004,2,,128.963558
144,51.00186,2,,149.12406000000001
7,-43.417833333333334,1,QJ0158-4325,29.672666666666665
13,5.578972222222222,1,MG0414+0534,63.65720833333333
121,-7.627366499999999,2,,36.442207
91,26.733666666666668,1,B2045+265,311.83479166666666
95,-32.028888888888886,1,CY2201-3201,330.3866666666666
69,22.9335,1,B1422+231,216.15870833333332
65,52.19138888888889,1,HST14113+5211,212.83166666666665
84,-34.461555555555556,1,PMNJ1838-3427,279.61875
93,2.4296944444444444,1,B2114+022,319.21145833333327
35,50.465805555555555,1,SDSS1001+5027,150.36920833333332
47,38.20086111111112,1,B1127+385,172.50054166666663
145,2.1106700000000003,2,,149.84068
39,-3.1172222222222223,1,LBQS1009-0252,153.0654583333333
70,52.9135,1,SBS1520+530,230.43679166666664
71,53.864444444444445,1,HST15433+5352,235.8370833333333
148,55.897059999999996,2,,150.33700000000002
53,43.53822222222222,1,SDSS1206+4332,181.62354166666665
103,14.51956525,2,,5.67049154
77,82.50333333333333,1,HST16309+8230,247.7195833333333
14,-12.287333333333333,1,HE0435-1223,69.56208333333332
15,12.465391666666665,1,B0445+123,72.091625
74,43.279944444444446,1,B1600+434,240.4185416666666
79,31.569972222222223,1,FBQ1633+3134,248.45412499999998
52,19.66172222222222,1,B1152+200,178.82624999999996
37,41.21188888888889,1,SDSS1004+4112,151.1454583333333
141,2.323611,2,,141.23248700000002
21,27.275375,1,MG0751+2716,117.92275
96,-60.54527777777778,1,HDFS2232509-603243,338.21208333333334
6,-9.754722222222222,1,Q0142-100,26.318749999999998
4,43.97031666666667,1,B0128+437,22.805854166666663
142,10.11467,2,,146.73617
131,48.79363,2,,125.05358000000001
99,19.739722222222223,1,PSS2322+1944,350.53
5,-9.517472222222223,1,PMNJ0134-0931,23.648625
9,-21.290555555555557,1,HE0230-2130,38.137916666666655
48,-12.5325,1,RXJ1131-1231,172.96499999999997
88,11.452305555555554,1,MG2016+112,304.82562499999995
17,51.950500000000005,1,B0631+519,98.80129166666666
44,7.190416666666667,1,B1030+074,158.392
87,-13.825194444444444,1,PMNJ2004-1349,301.02945833333325
133,34.807333,2,,131.794375
101,-30.352721999999996,2,,3.595917
128,-55.95,2,,104.65791999999999
138,5.84778,2,,137.8625
78,-0.5558611111111111,1,PMNJ1632-0033,248.24033333333333
86,66.8145,1,B1938+666,294.6049583333333
43,26.392166666666665,1,SDSS1029+2623,157.30562499999996
116,-8.22927,2,,34.21893
134,-1.3602999,2,,133.693954
45,-18.356722222222224,1,HE1104-1805,166.63937499999997
112,-6.7197942,2,,32.372207
60,11.634638888888889,1,SDSS1353+1138,208.2764583333333
