lens_names,ra,ra_err,dec,dec_err,description
MG2016+112,18.2697,0.015,8.2043,0.007,deflected
MG2016+112,18.5867,0.003,9.674299999999999,0.003,galaxy
MG2016+112,17.8277,0.028,7.419299999999999,0.027,galaxy deflected
MG2016+112,14.5777,0.008,13.2153,0.009,galaxy deflected
MG2016+112,24.0747,0.011,6.3252999999999995,0.013,deflected
MG2016+112,21.1117,0.015,9.6543,0.025,deflected
PG1115+080,12.6327,0.003,5.73203,0.003,deflected
PG1115+080,12.7817,0.004,6.19003,0.003,deflected
PG1115+080,10.963700000000001,0.003,5.8050299999999995,0.003,deflected
PG1115+080,11.3047,,7.76603,,source
PG1115+080,11.6857,0.003,6.4220299999999995,0.003,galaxy
PKS1830-211,18.5611,,-21.061,,source
PKS1830-211,17.9081,0.0,-21.782,0.0,deflected
PKS1830-211,18.0601,0.074,-21.506,0.079,galaxy
PKS1830-211,18.2461,0.006,-21.525,0.004,deflected
PKS1830-211,18.6491,0.003,-20.526,0.003,deflected
PMNJ0134-0931,1.57658,,-9.51747,,source
PMNJ0134-0931,1.49458,0.003,-9.67347,0.003,deflected
PMNJ0134-0931,2.11558,0.003,-9.932469999999999,0.003,deflected
PMNJ0134-0931,1.83458,0.012,-9.31247,0.008,deflected
PMNJ0134-0931,1.6305800000000001,0.06,-9.502469999999999,0.032,galaxy
Q0047-2808,0.828303,,-27.8738,,source
Q0047-2808,0.828303,0.0,-27.8738,0.0,galaxy deflected
Q0142-100,1.75458,,-9.75472,,source
Q0142-100,3.8995800000000003,0.003,-10.36772,0.003,deflected
Q0142-100,3.51858,0.003,-10.32872,0.003,galaxy
Q0957+561,10.0224,,55.8971,,source
Q0957+561,11.2514,0.005,49.8491,0.004,deflected
Q0957+561,11.4284,0.006,50.8701,0.005,galaxy
Q0957+561,18.8384,0.016,52.9551,0.005,galaxy deflected
Q2237+030,22.6751,,3.358,,source
Q2237+030,22.0021,0.003,5.055,0.003,deflected
Q2237+030,23.310100000000002,0.003,4.568,0.003,deflected
Q2237+030,21.8091,0.003,3.886,0.003,deflected
Q2237+030,22.6001,0.004,4.297,0.003,galaxy
QJ0158-4325,1.97818,,-43.4178,,source
QJ0158-4325,0.8221800000000001,0.003,-43.8158,0.003,deflected
