author,title,discovery,link,id_system,id_ref
Auger et al. 2009 [ApJ705(2009)1099],"The Sloan Lens ACS Survey. IX. Colors, Lensing, and Stellar Masses of Early-Type Galaxies",,http://admin.masterlens.org/citation.php?referenceID=20&,106,33
Bolton et al. 2008 [ApJ682(2008)964],The Sloan Lens ACS Survey. V. The Full ACS Strong-Lens Sample,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=229&,106,34
Brewer et al. 2006 [ApJ651(2006)8],The Einstein Ring 0047-2808 Revisited: A Bayesian Inversion,,http://admin.masterlens.org/citation.php?referenceID=2634&,107,35
Wayth et al. 2005 [MNRAS360(2005)1333],The lens and source of the optical Einstein ring gravitational lens ER 0047-2808,,http://admin.masterlens.org/citation.php?referenceID=717&,107,36
Koopmans et al. 2003 [ApJ583(2003)606],The Structure and Dynamics of Luminous and Dark Matter in the Early-Type Lens Galaxy of 0047-281 at z = 0.485,,http://admin.masterlens.org/citation.php?referenceID=180&,107,37
Kochanek et al. 2000 [ApJ543(2000)131],The Fundamental Plane of Gravitational Lens Galaxies and The Evolution of Early-Type Galaxies in Low-Density Environments,,http://admin.masterlens.org/citation.php?referenceID=302&,107,38
Warren et al. 1999 [A&A343(1999)L35],A VLT colour image of the optical Einstein ring 0047-2808,,http://admin.masterlens.org/citation.php?referenceID=184&,107,39
Warren et al. 1998 [MNRAS299(1998)1215],Spectroscopy of the optical Einstein ring 0047-2808,,http://admin.masterlens.org/citation.php?referenceID=185&,107,40
Warren et al. 1996 [MNRAS278(1996)139],A candidate optical Einstein ring,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=186&,107,41
Mosquera et al. 2011 [ApJ738(2011)96],The Microlensing Properties of a Sample of 87 Lensed Quasars,,http://admin.masterlens.org/citation.php?referenceID=238&,108,42
Chantry et al. 2010 [A&A522(2010)A95],COSMOGRAIL:  the COSmological MOnitoring of GRAvItational Lenses. VIII. Deconvolution of high resolution near-IR images and simple mass models for 7 gravitationally lensed quasars,,http://admin.masterlens.org/citation.php?referenceID=239&,108,43
Mediavilla et al. 2009 [ApJ706(2009)1451],Microlensing-based Estimate of the Mass Fraction in Compact Objects in Lens Galaxies,,http://admin.masterlens.org/citation.php?referenceID=764&,108,44
Eigenbrod et al. 2006 [A&A451(2006)759],COSMOGRAIL:  the COSmological MOnitoring of GRAvItational Lenses. III. Redshift of the lensing galaxy in eight gravitationally lensed quasars,,http://admin.masterlens.org/citation.php?referenceID=263&,108,45
