bestObjId,z,ra,dec
1237659133281435819,0.6466451,213.87773,52.077649
1237659133281435819,0.6466451,213.87773,52.077649
1237659133281435819,0.6466451,213.87773,52.077649
1237659133281435819,0.6466451,213.87773,52.077649
1237659133281435819,0.6466451,213.87773,52.077649
1237666301627531643,1.288232,46.266283,0.639931
1237665330380275790,1.288232,161.10636,30.269099
1237678790282248489,1.288232,30.171038,25.113424
1237663783132660497,1.288232,20.635998,-0.77607615
1237679338958946469,1.664873,36.741349,-7.3885538
1237661949195190492,1.664873,218.374,9.8847636
1237651539239436680,1.664873,137.94156,59.093242
1237657628987228410,1.664873,166.27706,50.75759
1237665128537850416,1.675672,168.15031,33.850945
1237655746707325557,1.675672,266.20602,53.91955
1237651273489580658,1.675672,112.70154,37.271182
1237660956495446750,1.675672,120.9026,22.269548
1237668273509892159,1.972259,204.56067,20.041024
1237667781744197964,1.972259,144.53069,16.708267
1237666275812704673,1.972259,21.806347,24.684113
1237657190904889593,1.972259,359.32076,-0.18581881
1237661417676144899,2.031811,214.71471,53.796667
1237663784208433246,2.031811,25.202871,0.087349271
1237671260660433450,2.031811,130.35357,9.7301685
1237654653106847885,2.031811,140.04931,51.165909
1237678618490569045,2.136753,357.70497,2.0909623
1237651752926642429,2.136753,157.3373,1.524626
1237659325497279110,2.136753,254.99368,30.577275
1237657874865193103,2.136753,138.49665,40.09323
1237660343393845543,2.168838,131.42807,32.542195
1237657606966477096,2.168838,136.93026,45.318185
1237661387067883824,2.168838,213.10721,54.128232
1237665548352946302,2.168838,215.11835,23.499316
1237666184031699577,2.168838,349.22498,25.899962
1237666091129766350,2.173949,18.227559,24.774083
1237671140407575045,2.173949,177.21818,0.28351494
1237667321644712574,2.173949,180.75427,26.255081
1237665329862476012,2.173949,211.72865,29.385531
1237661151918489921,2.173949,206.59251,48.404593
1237658203445985498,2.17468,212.28215,45.530477
1237678790280806553,2.17468,26.63107,25.799857
1237667211602952811,2.17468,184.43388,30.178945
1237679321776193888,2.17468,8.82403099999999,-6.0940014
1237678620105638055,2.17468,7.82365759999999,3.541892
1237661418212753606,2.175014,214.20109,54.483604
1237665369034850425,2.175014,144.75633,26.242909
1237663784215577285,2.175014,41.583849,0.0024984
1237658611984564339,2.175014,181.93324,49.270065
1237679459747496269,2.184042,8.56544860000002,19.445497
1237664094509990408,2.184042,129.77806,26.728596
1237662300823748971,2.184042,212.58761,48.207929
1237680070175097004,2.184042,19.264168,24.272705
1237679254136488218,2.189334,38.834008,-4.3651006
1237667734526492723,2.189334,227.39652,16.473978
1237668272432480586,2.189334,195.64036,19.968934
1237661872944775389,2.189334,198.87527,44.224571
1237679461900878216,2.189334,22.980346,20.318978
1237658422487023763,2.194128,175.99092,6.5032003
1237657191445889247,2.194128,8.72012469999999,0.23110019
1237678879422153054,2.194128,27.824397,-3.2959666
1237661070335869090,2.194128,182.47437,15.535983
1237666340797481216,2.198725,11.731219,1.1693544
1237661873468146544,2.198725,156.37539,41.855075
1237665129075704053,2.198725,170.71849,34.738806
1237648722282283578,2.198725,129.26143,0.76432876
