Coordinates:,RA Hrs,RA Mins,RA Secs,RA [°],Dec Degrees,Dec Arcmin,Dec Arcsec,Dec [°],Lens Kind,Lens Grade,"Einstein_R [""]",z_Lens,z_Source(s),Discovery Date,Name,N Images
Discovery,09,11,27,137.8625,+05,50,52.0,+5.84778,GAL-QSO,A,2.47,0.77,2.8,1997-01-01,RXJ0911+0551,4
Discovery,,,,,,,,,,,,,,1997-01-01,RXJ0911+0551,4
