Author,Title,Discovery,Links
Bayliss et al. 2010 [ApJ720(2010)1559],Two Lensed Lyman-α Emitting Galaxies at z~ 5,,http://admin.masterlens.org/citation.php?referenceID=3485&
Koester et al. 2010 [ApJL723(2010)L73],Two Lensed z=3 Lyman Break Galaxies Discovered in the SDSS Giant Arcs Survey,,http://admin.masterlens.org/citation.php?referenceID=219&
Kubo et al. 2009 [ApJL696(2009)L61],The Sloan Bright Arcs Survey: Six Strongly Lensed Galaxies at z = 0.4-1.4,,http://admin.masterlens.org/citation.php?referenceID=208&
Lin et al. 2009 [ApJ699(2009)1242],"Discovery of a Very Bright, Strongly Lensed z = 2 Galaxy in the SDSS DR5",,http://admin.masterlens.org/citation.php?referenceID=211&
Belokurov et al. 2009 [MNRAS392(2009)104],Two new large-separation gravitational lenses from SDSS,,http://admin.masterlens.org/citation.php?referenceID=225&
Diehl et al. 2009 [ApJ707(2009)686],The Sloan Bright Arcs Survey: Four Strongly Lensed Galaxies with Redshift > 2,,http://admin.masterlens.org/citation.php?referenceID=216&
Allam et al. 2007 [ApJL662(2007)L51],The 8 Oclock Arc: A Serendipitous Discovery of a Strongly Lensed Lyman Break Galaxy in the SDSS DR4 Imaging Data,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=213&
Belokurov et al. 2007 [ApJL671(2007)L9],The Cosmic Horseshoe: Discovery of an Einstein Ring around a Giant Luminous Red Galaxy,,http://admin.masterlens.org/citation.php?referenceID=191&
