Author,Title,Discovery,Links
Brewer et al. 2012 [MNRAS422(2012)3574],The SWELLS survey - III. Disfavouring,,http://admin.masterlens.org/citation.php?referenceID=228&
Treu et al. 2011 [MNRAS417(2011)1601],The SWELLS survey - I. A large spectroscopically selected sample of edge-on late-type lens galaxies,,http://admin.masterlens.org/citation.php?referenceID=23&
Bolton et al. 2006 [ApJ638(2006)703],The Sloan Lens ACS Survey. I. A Large Spectroscopically Selected Sample of Massive Early-Type Lens Galaxies,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=226&
