Band,Filter,HST,Program Observations,SDSS,lens_mag,lens_mag_err,Flux (nmaggie),Flux (nmaggie)_err,ref (arcsec),ref (arcsec)_err,axis_ratio (AB),axis_ratio (AB)_err,PA (deg),PA (deg)_err
u,Sloan u,,Has Sloan ugriz photometrySDSS Spectrum: 472-51955-429zL = 0.16419 ± 0.00003σv = (310 ± 12) km/sRA = 138.02212° Dec = 0.48366° Spectroscopic Object: GALAXY,SDSS (DR8),19.58 , 0.06,14.77 , 0.85,2.29 , 0.35,0.69 , 0.16,15.02 , 0.01
g,Sloan g,,Has Sloan ugriz photometrySDSS Spectrum: 472-51955-429zL = 0.16419 ± 0.00003σv = (310 ± 12) km/sRA = 138.02212° Dec = 0.48366° Spectroscopic Object: GALAXY,SDSS (DR8),17.54 , 0.01,96.69 , 0.59,2.25 , 0.03,0.69 , 0.02,14.54 , 0.01
r,Sloan r,,Has Sloan ugriz photometrySDSS Spectrum: 472-51955-429zL = 0.16419 ± 0.00003σv = (310 ± 12) km/sRA = 138.02212° Dec = 0.48366° Spectroscopic Object: GALAXY,SDSS (DR8),16.31 , 0.00,300.39 , 1.11,2.26 , 0.02,0.68 , 0.01,10.83 , 0.01
i,Sloan i,,Has Sloan ugriz photometrySDSS Spectrum: 472-51955-429zL = 0.16419 ± 0.00003σv = (310 ± 12) km/sRA = 138.02212° Dec = 0.48366° Spectroscopic Object: GALAXY,SDSS (DR8),15.82 , 0.00,468.49 , 1.71,2.23 , 0.02,0.67 , 0.01,11.62 , 0.01
z,Sloan z,,Has Sloan ugriz photometrySDSS Spectrum: 472-51955-429zL = 0.16419 ± 0.00003σv = (310 ± 12) km/sRA = 138.02212° Dec = 0.48366° Spectroscopic Object: GALAXY,SDSS (DR8),15.46 , 0.01,657.40 , 4.64,1.89 , 0.03,0.69 , 0.02,18.85 , 0.01
B,F435W,ACS/WFC (WFC1),HST Program 10174 — PI: KoopmansHST Program 10494 — PI: Koopmans,,,,,,,,,,,
V,F555W,ACS/WFC (WFC1),HST Program 10174 — PI: KoopmansHST Program 10494 — PI: Koopmans,,,,,,,,,,,
I,F814W,ACS/WFC (WFC1),HST Program 10174 — PI: KoopmansHST Program 10494 — PI: Koopmans,,15.57 , 0.05,,,3.87 , 0.01,0.67 , 0.01,11.7 , 0.1
H,F160W,NIC2 (NIC2),HST Program 10494 — PI: Koopmans,,,,,,,,,,,
