Author,Title,Discovery,Links
Nord et al. 2016 [ApJ827(2016)51],Observation and Confirmation of Six Strong-lensing Systems in the Dark Energy Survey Science Verification Data,,http://admin.masterlens.org/citation.php?referenceID=4329&
More et al. 2012 [ApJ749(2012)38],The CFHTLS-Strong Lensing Legacy Survey (SL2S): Investigating the Group-scale Lenses with the SARCS Sample,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=161&
