SpecObjId,z,ra,dec
1805993529994930176,0.04216975,167.69151,11.611546
818703267017025536,0.04247234,316.8413,11.066418
1943477564433524736,0.04249031,239.10794,9.0551763
2106576924418533376,0.04264095,123.35007,54.376883
316434800627968000,0.04266122,171.98972,-1.2111543
889539857318176768,0.04279729,217.07495,57.171803
889542056207214592,0.04279953,217.07495,57.171803
889539031090620416,0.04281849,217.07495,57.171803
1932059697511163904,0.04283992,225.79864,11.174267
984177570171873280,0.04293587,157.17492,49.07186
454902350549641216,0.0429575,31.566635,-0.29144317
454902901395974144,0.04297762,31.566635,-0.29144317
2174199362991712256,0.0430134,129.58839,24.176831
1610170232935049216,0.04307265,158.66082,39.641193
2189877574656616448,0.04312633,148.08375,32.474123
498914977399203840,0.04320633,127.30282,50.114544
1770040326061320192,0.04334568,247.9983,24.627852
1130484091381114880,0.04335672,166.72692,6.2036239
6167938175815622656,0.04338953,224.90542,13.2274
1329810716743460864,0.04352178,51.640575,0.68275369
2274331888158009344,0.0435284,190.54421,33.284064
1377148256051554304,0.04369109,173.2053,10.296445
1123700929724442624,0.04379382,156.01083,6.4955248
2287852589087221760,0.04388677,198.96475,36.410323
2418457814843287552,0.04396776,224.13065,21.341687
1317412338650867712,0.0440169,241.49218,44.055427
2999572250077718528,0.04427794,201.8797,24.778065
462885905502332928,0.04443061,46.074085,0.47426843
462885904562808832,0.04444674,46.074085,0.47426843
462887280579733504,0.04444849,46.074085,0.47426843
1621436655082694656,0.04451048,170.67809,41.73208
2651503690082445312,0.04453726,162.94761,25.132197
1135060533385390080,0.04458556,156.38035,51.676354
985205064056465408,0.04493692,160.01127,49.551282
871518034504738816,0.04518886,164.9728,59.954331
1884773269723179008,0.04520896,220.23772,46.6131
9153704347657281536,0.04532085,36.325001,-4.2981648
1054969907394930688,0.04541837,138.23518,38.093914
8146030797444325376,0.04544285,36.325055,-4.2982053
845594848269461504,0.04559058,2.0234369,14.839836
2793434428364318720,0.04562128,162.30687,23.13943
446992738475337728,0.0456346,19.264929,0.0076054975
618169384749262848,0.04566712,128.009,46.240482
2793427006358841344,0.04566981,162.30687,23.13943
3321411123864954880,0.04573886,238.10366,4.2906204
2723650075506010112,0.0457991,119.70954,9.5891018
1990741451260061696,0.04582256,188.73294,15.56561
1311736933617002496,0.04591636,226.9375,51.452851
4854023696245825536,0.04595648,17.258258,2.8459608
1799236480531458048,0.04606678,156.38368,10.417802
2852023837967542272,0.0463713,248.23959,11.844494
2409599588206929920,0.04641705,221.9975,22.942021
7561803916247015424,0.04646431,241.32539,52.120167
1945624637291390976,0.04663858,239.38808,8.5119297
2108826267997464576,0.04664661,127.07799,57.65352
2723574758959507456,0.04673634,120.8641,8.6978608
556219050242369536,0.0467449,188.15621,66.414533
409844367197497344,0.04676759,247.53083,-0.1934489
669959681657038848,0.04677902,239.73249,2.8094304
1369146558972454912,0.04683929,147.16009,40.512147
2192193146882910208,0.04690509,147.21902,28.894017
2788857985621846016,0.04691004,161.65493,22.039432
379489050127525888,0.04711584,192.67685,-2.8254005
3137946338658904064,0.04715465,216.03493,21.088492
1874656655048730624,0.04717364,50.026352,40.366306
864721678171662336,0.04725674,145.86975,52.803211
1494172852008544256,0.04758939,218.29395,52.975145
2227119409321764864,0.04766085,202.28681,29.840057
2549099573272406016,0.04784975,118.4142,13.433902
2486000803299485696,0.04788003,246.67054,14.378788
873716233680218112,0.04799197,176.1378,61.533523
1772262718955350016,0.04807812,244.68688,25.652139
587767339206862848,0.0481308,191.64687,2.3690977
1580828112910837760,0.0482723,238.57263,32.64384
4117662337908842496,0.04832089,112.77858,39.445707
2439863371403651072,0.0483251,236.28135,17.164163
1952348147640461312,0.04839259,112.77861,39.445747
2184272814066919424,0.04857406,141.91989,26.450304
6409869770481442816,0.04868365,19.060082,23.839644
575343417836464128,0.04869759,171.36049,2.3441827
1475006719296825344,0.04882211,172.42815,55.986845
2643781269577558016,0.04895768,154.3261,29.242819
2647098496645097472,0.0489959,154.3261,29.242819
617137768048388096,0.04903684,127.17806,45.742576
7198152264103469056,0.04907146,127.17807,45.74258
2647098496410216448,0.04910105,154.3261,29.242819
2022237244131141632,0.04911636,196.84136,9.8692621
1772310547711158272,0.04917874,246.63037,26.004505
1593185250224138240,0.04921037,254.00669,21.211431
2436573082807199744,0.04937034,232.92192,20.324981
3132255816900438016,0.04937094,235.05404,14.278674
1534647803735730176,0.04945303,166.23345,43.569226
3109736993140008960,0.04960209,221.13176,15.612014
1468286503556769792,0.04979132,143.36614,9.5333562
2198904839512025088,0.0498274,153.01084,30.217512
2579582159299831808,0.04985169,140.87206,25.769109
1474967136878225408,0.04988477,173.26847,56.174669
2740454731095762944,0.0499157,137.25982,13.505405
3106401349756020736,0.04994078,215.41097,17.593415
2025595422017349632,0.04994619,200.73097,8.1615591
2576206658350901248,0.05002406,139.27862,21.014046
2550175995021780992,0.05014399,119.79352,11.865774
1377105100220164096,0.05014781,172.05429,10.385646
536073800077305856,0.05024875,144.25437,1.0954984
536072155624925184,0.05026412,144.25437,1.0954984
2990426236808882176,0.05026987,181.83257,24.198864
2223714226189395968,0.05044332,190.44048,32.048952
1942314025194907648,0.05045299,235.55946,9.948533
8515223990658113536,0.05050456,245.43789,54.456574
1642741067814037504,0.05064732,196.58266,45.873399
2174259561253332992,0.05079341,131.72541,25.370086
1477213984661727232,0.0508137,177.90876,56.22553
1333088073998690304,0.05104269,123.79084,3.464906
2231672761229535232,0.05104554,159.46592,33.813938
2281229129296668672,0.051054,164.22239,33.329354
1041530571802568704,0.05120365,232.50757,-2.0708464
2906061802427148288,0.05125933,145.47258,16.605835
1473924795308468224,0.05126621,172.17083,57.83514
2666282225300957184,0.05141364,143.0288,17.450915
1112451272646092800,0.05154388,322.21332,-1.070127
1875907349776984064,0.05157453,50.616177,42.274004
1470476730769631232,0.05161597,147.70953,9.8768844
1112458969227487232,0.05161818,322.04868,0.066270697
1865770960955664384,0.05164569,243.99153,24.183211
1109120300676573184,0.05175861,315.6106,0.11730653
1402974701487155200,0.05179065,85.703071,0.67200549
2817097019682744320,0.05185081,172.17715,19.887014
1630454300301879296,0.05207772,181.6095,42.740579
1926482419880323072,0.05209128,219.8367,9.4716503
2803512278626887680,0.05214465,168.1138,18.824119
880469983870609408,0.05218846,195.08318,61.65503
743171490609915904,0.05220335,18.403091,-10.579374
5138853558884474880,0.05226687,156.85715,35.908675
2829407700968826880,0.05227405,179.29452,22.296178
2012142637624092672,0.05233598,141.40761,64.156027
1605580321493903360,0.05240773,152.07964,37.484288
3116633950206846976,0.05240808,233.89619,13.798002
526952249683896320,0.05246851,133.97613,0.85304333
1533639551522727936,0.05251595,164.24387,44.281444
650825160978360320,0.05251931,160.72059,4.2447561
351410266765813760,0.05258921,229.16759,0.25050885
1329793949191137280,0.05260357,50.886798,-0.1278695
721743108865288192,0.05270622,323.43439,-8.2710232

