Author,Title,Discovery,Links
Sonnenfeld et al. 2013 [arXiv1307.4759],"The  SL2S Galaxy-scale Lens Sample. IV. The dependence of the total mass density profile of early-type galaxies on redshift, stellar mass, and size",,http://admin.masterlens.org/citation.php?referenceID=4316&
Sonnenfeld et al. 2013 [arXiv1307.4764],"The SL2S Galaxy-scale Lens Sample. III. Lens Models, Surface Photometry and Stellar Masses for the final sample",Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=4315&
