Author,Title,Discovery,Links
More et al. 2012 [ApJ749(2012)38],The CFHTLS-Strong Lensing Legacy Survey (SL2S): Investigating the Group-scale Lenses with the SARCS Sample,,http://admin.masterlens.org/citation.php?referenceID=161&
Rogers et al. 2011 [ApJ743(2011)68],Strong Gravitational Lens Modeling with Spatially Variant Point-spread Functions,,http://admin.masterlens.org/citation.php?referenceID=1798&
Cabanac et al. 2007 [A&A461(2007)813],The CFHTLS strong lensing legacy survey. I. Survey overview and T0002 release sample,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=360&
