Band,Filter,HST,Program Observations,SDSS,lens_mag,lens_mag_err,Flux (nmaggie),Flux (nmaggie)_err,ref (arcsec),ref (arcsec)_err,axis_ratio (AB),axis_ratio (AB)_err,PA (deg),PA (deg)_err
u,Sloan u,,Has Sloan ugriz photometrySDSS Spectrum: 668-52162-428zL = 0.33165 ± 0.00007σv = (332 ± 24) km/sRA = 34.21893° Dec = -8.22927° Spectroscopic Object: GALAXY,SDSS (DR8),21.34 , 0.32,2.90 , 0.87,1.64 , 1.73,0.40 , 0.69,106.65 , 0.01
g,Sloan g,,Has Sloan ugriz photometrySDSS Spectrum: 668-52162-428zL = 0.33165 ± 0.00007σv = (332 ± 24) km/sRA = 34.21893° Dec = -8.22927° Spectroscopic Object: GALAXY,SDSS (DR8),19.26 , 0.02,19.84 , 0.43,1.92 , 0.12,0.69 , 0.06,63.87 , 0.01
r,Sloan r,,Has Sloan ugriz photometrySDSS Spectrum: 668-52162-428zL = 0.33165 ± 0.00007σv = (332 ± 24) km/sRA = 34.21893° Dec = -8.22927° Spectroscopic Object: GALAXY,SDSS (DR8),17.55 , 0.01,95.56 , 0.80,1.82 , 0.04,0.78 , 0.03,72.78 , 0.01
i,Sloan i,,Has Sloan ugriz photometrySDSS Spectrum: 668-52162-428zL = 0.33165 ± 0.00007σv = (332 ± 24) km/sRA = 34.21893° Dec = -8.22927° Spectroscopic Object: GALAXY,SDSS (DR8),16.93 , 0.01,169.49 , 1.34,1.58 , 0.04,0.81 , 0.03,80.06 , 0.01
z,Sloan z,,Has Sloan ugriz photometrySDSS Spectrum: 668-52162-428zL = 0.33165 ± 0.00007σv = (332 ± 24) km/sRA = 34.21893° Dec = -8.22927° Spectroscopic Object: GALAXY,SDSS (DR8),16.59 , 0.02,230.70 , 4.32,1.52 , 0.08,0.72 , 0.06,69.66 , 0.01
B,F435W,ACS/WFC (WFC1),HST Program 10174 — PI: KoopmansHST Program 10494 — PI: Koopmans,,,,,,,,,,,
V,F555W,ACS/WFC (WFC1),HST Program 10174 — PI: KoopmansHST Program 10494 — PI: Koopmans,,,,,,,,,,,
I,F814W,ACS/WFC (WFC1),HST Program 10174 — PI: KoopmansHST Program 10494 — PI: Koopmans,,16.93 , 0.07,,,2.67 , 0.01,0.79 , 0.01,81.2 , 0.1
H,F160W,NIC2 (NIC2),HST Program 10494 — PI: Koopmans,,,,,,,,,,,
