Author,Title,Discovery,Links
Fadely et al. 2012 [MNRAS419(2012)936],Substructure in the lens HE 0435-1223,,http://admin.masterlens.org/citation.php?referenceID=168&
Fadely et al. 2011 [AstronJ141(2011)101],Near-infrared K and L' Flux Ratios in Six Lensed Quasars,,http://admin.masterlens.org/citation.php?referenceID=756&
Courbin et al. 2011 [A&A536(2011)A53],"COSMOGRAIL:  the COSmological MOnitoring of GRAvItational Lenses. IX. Time delays, lens dynamics and baryonic fraction in HE 0435-1223",,http://admin.masterlens.org/citation.php?referenceID=167&
Mediavilla et al. 2009 [ApJ706(2009)1451],Microlensing-based Estimate of the Mass Fraction in Compact Objects in Lens Galaxies,,http://admin.masterlens.org/citation.php?referenceID=764&
Ostman et al. 2008 [A&A485(2008)403],Extinction properties of lensing galaxies,,http://admin.masterlens.org/citation.php?referenceID=456&
Eigenbrod et al. 2006 [A&A451(2006)759],COSMOGRAIL:  the COSmological MOnitoring of GRAvItational Lenses. III. Redshift of the lensing galaxy in eight gravitationally lensed quasars,,http://admin.masterlens.org/citation.php?referenceID=263&
Ofek et al. 2006 [ApJ641(2006)70],Spectroscopic Redshifts for Seven Lens Galaxies,,http://admin.masterlens.org/citation.php?referenceID=236&
Wisotzki et al. 2002 [A&A395(2002)17],HE 0435-1223: A wide separation quadruple QSO and gravitational lens,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=166&
