Author,Title,Discovery,Links
Zitrin et al. 2011 [MNRAS410(2011)1939],Strong-lensing analysis of a complete sample of 12 MACS clusters at z > 0.5: mass models and Einstein radii,,http://admin.masterlens.org/citation.php?referenceID=289&
Ebeling et al. 2007 [ApJL661(2007)L33],A Complete Sample of 12 Very X-Ray Luminous Galaxy Clusters at z > 0.5,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=287&
