Author,Title,Discovery,Links
Brewer et al. 2006 [ApJ651(2006)8],The Einstein Ring 0047-2808 Revisited: A Bayesian Inversion,,http://admin.masterlens.org/citation.php?referenceID=2634&
Wayth et al. 2005 [MNRAS360(2005)1333],The lens and source of the optical Einstein ring gravitational lens ER 0047-2808,,http://admin.masterlens.org/citation.php?referenceID=717&
Koopmans et al. 2003 [ApJ583(2003)606],The Structure and Dynamics of Luminous and Dark Matter in the Early-Type Lens Galaxy of 0047-281 at z = 0.485,,http://admin.masterlens.org/citation.php?referenceID=180&
Kochanek et al. 2000 [ApJ543(2000)131],The Fundamental Plane of Gravitational Lens Galaxies and The Evolution of Early-Type Galaxies in Low-Density Environments,,http://admin.masterlens.org/citation.php?referenceID=302&
Warren et al. 1999 [A&A343(1999)L35],A VLT colour image of the optical Einstein ring 0047-2808,,http://admin.masterlens.org/citation.php?referenceID=184&
Warren et al. 1998 [MNRAS299(1998)1215],Spectroscopy of the optical Einstein ring 0047-2808,,http://admin.masterlens.org/citation.php?referenceID=185&
Warren et al. 1996 [MNRAS278(1996)139],A candidate optical Einstein ring,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=186&
