Band,HST,Filter,Lens Magnitude,Source Magnitude,Program Observations
V,ACS/WFC (WFC1),F555W,,,HST Program 9744 — PI: Kochanek
I,ACS/WFC (WFC1),F814W,18.96,16.52,HST Program 9744 — PI: Kochanek
H,NIC2 (NIC2),F160W,,,HST Program 9744 — PI: Kochanek
