Band,Filter,HST,PA [° E of N],Program Observations,SDSS,lens_mag,lens_mag_err,Flux (nmaggie),Flux (nmaggie)_err,ref (arcsec),ref (arcsec)_err,axis_ratio (AB),axis_ratio (AB)_err
u,Sloan u,,118.94,Has Sloan ugriz photometrySDSS Spectrum: 4387-55534-235zL = 0.23790 ± 0.00003σv = (251 ± 13) km/sRA = 36.29603° Dec = -4.90931° Spectroscopic Object: GALAXY,SDSS (DR8),22.46 , 0.81,1.02 , 0.79,0.91 , 5.36,0.05 , 0.00
g,Sloan g,,24.28,Has Sloan ugriz photometrySDSS Spectrum: 4387-55534-235zL = 0.23790 ± 0.00003σv = (251 ± 13) km/sRA = 36.29603° Dec = -4.90931° Spectroscopic Object: GALAXY,SDSS (DR8),19.10 , 0.02,22.97 , 0.38,1.21 , 0.07,0.89 , 0.07
r,Sloan r,,17.66,Has Sloan ugriz photometrySDSS Spectrum: 4387-55534-235zL = 0.23790 ± 0.00003σv = (251 ± 13) km/sRA = 36.29603° Dec = -4.90931° Spectroscopic Object: GALAXY,SDSS (DR8),17.67 , 0.01,85.30 , 0.67,1.27 , 0.03,0.78 , 0.03
i,Sloan i,,20.9,Has Sloan ugriz photometrySDSS Spectrum: 4387-55534-235zL = 0.23790 ± 0.00003σv = (251 ± 13) km/sRA = 36.29603° Dec = -4.90931° Spectroscopic Object: GALAXY,SDSS (DR8),17.15 , 0.01,138.17 , 0.95,1.18 , 0.02,0.77 , 0.02
z,Sloan z,,17.64,Has Sloan ugriz photometrySDSS Spectrum: 4387-55534-235zL = 0.23790 ± 0.00003σv = (251 ± 13) km/sRA = 36.29603° Dec = -4.90931° Spectroscopic Object: GALAXY,SDSS (DR8),16.79 , 0.02,192.45 , 3.00,0.98 , 0.05,0.81 , 0.06
V,F606W,WFPC2 (WF3),25.1 ± 0.1,HST Program 11289 — PI: Kneib,,17.68 , 0.01,,,2.28 , 0.01,0.72 , 0.01
