Band,Filter,HST,Program Observations,SDSS,lens_mag,lens_mag_err,Flux (nmaggie),Flux (nmaggie)_err,ref (arcsec),ref (arcsec)_err,axis_ratio (AB),axis_ratio (AB)_err,PA (deg),PA (deg)_err
u,Sloan u,,Has Sloan ugriz photometrySDSS Spectrum: 422-51811-508zL = 0.29388 ± 0.00006σv = (243 ± 18) km/sRA = 17.39054° Dec = 15.00903° Spectroscopic Object: GALAXY,SDSS (DR8),22.60 , 0.56,0.89 , 0.49,0.75 , 1.07,0.05 , 0.00,-10.98 , 0.01
g,Sloan g,,Has Sloan ugriz photometrySDSS Spectrum: 422-51811-508zL = 0.29388 ± 0.00006σv = (243 ± 18) km/sRA = 17.39054° Dec = 15.00903° Spectroscopic Object: GALAXY,SDSS (DR8),20.08 , 0.03,9.30 , 0.24,1.05 , 0.10,0.76 , 0.10,-39.85 , 0.01
r,Sloan r,,Has Sloan ugriz photometrySDSS Spectrum: 422-51811-508zL = 0.29388 ± 0.00006σv = (243 ± 18) km/sRA = 17.39054° Dec = 15.00903° Spectroscopic Object: GALAXY,SDSS (DR8),18.44 , 0.01,41.92 , 0.44,1.01 , 0.03,0.83 , 0.04,-65.22 , 0.01
i,Sloan i,,Has Sloan ugriz photometrySDSS Spectrum: 422-51811-508zL = 0.29388 ± 0.00006σv = (243 ± 18) km/sRA = 17.39054° Dec = 15.00903° Spectroscopic Object: GALAXY,SDSS (DR8),17.82 , 0.01,74.20 , 0.66,0.85 , 0.03,0.85 , 0.03,-68.67 , 0.01
z,Sloan z,,Has Sloan ugriz photometrySDSS Spectrum: 422-51811-508zL = 0.29388 ± 0.00006σv = (243 ± 18) km/sRA = 17.39054° Dec = 15.00903° Spectroscopic Object: GALAXY,SDSS (DR8),17.46 , 0.03,103.48 , 2.49,0.75 , 0.06,0.87 , 0.11,-28.53 , 0.01
I,F814W,ACS/WFC (WFC1),HST Program 10587 — PI: Bolton,,17.75 , 0.11,,,1.38 , 0.01,0.78 , 0.01,104.0 , 0.1
