Author,Title,Discovery,Links
Sonnenfeld et al. 2013 [arXiv1307.4759],"The  SL2S Galaxy-scale Lens Sample. IV. The dependence of the total mass density profile of early-type galaxies on redshift, stellar mass, and size",,http://admin.masterlens.org/citation.php?referenceID=4316&
Sonnenfeld et al. 2013 [arXiv1307.4764],"The SL2S Galaxy-scale Lens Sample. III. Lens Models, Surface Photometry and Stellar Masses for the final sample",,http://admin.masterlens.org/citation.php?referenceID=4315&
More et al. 2012 [ApJ749(2012)38],The CFHTLS-Strong Lensing Legacy Survey (SL2S): Investigating the Group-scale Lenses with the SARCS Sample,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=161&
