Band,Filter,HST,Program Observations,SDSS,lens_mag,lens_mag_err,Flux (nmaggie),Flux (nmaggie)_err,ref (arcsec),ref (arcsec)_err,axis_ratio (AB),axis_ratio (AB)_err,PA (deg),PA (deg)_err
u,Sloan u,,Has Sloan ugriz photometrySDSS Spectrum: 902-52409-68zL = 0.24055 ± 0.00005σv = (297 ± 16) km/sRA = 149.12406° Dec = 51.00186° Spectroscopic Object: GALAXY,SDSS (DR8),20.44 , 0.12,6.66 , 0.71,1.47 , 0.51,0.85 , 0.45,143.89 , 0.01
g,Sloan g,,Has Sloan ugriz photometrySDSS Spectrum: 902-52409-68zL = 0.24055 ± 0.00005σv = (297 ± 16) km/sRA = 149.12406° Dec = 51.00186° Spectroscopic Object: GALAXY,SDSS (DR8),18.56 , 0.01,37.71 , 0.41,1.57 , 0.05,0.87 , 0.03,-22.65 , 0.01
r,Sloan r,,Has Sloan ugriz photometrySDSS Spectrum: 902-52409-68zL = 0.24055 ± 0.00005σv = (297 ± 16) km/sRA = 149.12406° Dec = 51.00186° Spectroscopic Object: GALAXY,SDSS (DR8),17.13 , 0.01,140.35 , 0.78,1.36 , 0.02,0.93 , 0.02,-18.43 , 0.01
i,Sloan i,,Has Sloan ugriz photometrySDSS Spectrum: 902-52409-68zL = 0.24055 ± 0.00005σv = (297 ± 16) km/sRA = 149.12406° Dec = 51.00186° Spectroscopic Object: GALAXY,SDSS (DR8),16.64 , 0.01,220.11 , 1.16,1.32 , 0.02,0.92 , 0.02,-21.05 , 0.02
z,Sloan z,,Has Sloan ugriz photometrySDSS Spectrum: 902-52409-68zL = 0.24055 ± 0.00005σv = (297 ± 16) km/sRA = 149.12406° Dec = 51.00186° Spectroscopic Object: GALAXY,SDSS (DR8),16.26 , 0.01,313.32 , 3.41,1.45 , 0.04,0.82 , 0.03,135.43 , 0.01
B,F435W,ACS/WFC (WFC1),HST Program 10174 — PI: KoopmansHST Program 10494 — PI: Koopmans,,,,,,,,,,,
V,F555W,ACS/WFC (WFC1),HST Program 10174 — PI: KoopmansHST Program 10494 — PI: Koopmans,,,,,,,,,,,
I,F814W,ACS/WFC (WFC1),HST Program 10174 — PI: KoopmansHST Program 10494 — PI: Koopmans,,16.68 , 0.02,,,2.19 , 0.01,0.73 , 0.01,147.7 , 0.1
H,F160W,NIC2 (NIC2),HST Program 10494 — PI: Koopmans,,,,,,,,,,,
