Author,Title,Discovery,Links
Merten et al. 2011 [MNRAS417(2011)333],Creation of cosmic structure in the complex galaxy cluster merger Abell 2744,,http://admin.masterlens.org/citation.php?referenceID=2950&
Zitrin et al. 2011 [MNRAS410(2011)1939],Strong-lensing analysis of a complete sample of 12 MACS clusters at z > 0.5: mass models and Einstein radii,,http://admin.masterlens.org/citation.php?referenceID=289&
Coe et al. 2010 [ApJ723(2010)1678],A High-resolution Mass Map of Galaxy Cluster Substructure: LensPerfect Analysis of A1689,,http://admin.masterlens.org/citation.php?referenceID=2998&
Koester et al. 2010 [ApJL723(2010)L73],Two Lensed z=3 Lyman Break Galaxies Discovered in the SDSS Giant Arcs Survey,,http://admin.masterlens.org/citation.php?referenceID=219&
Gonzalez et al. 2009 [ApJ691(2009)525],A Multiply Imaged Luminous Infrared Galaxy Behind the Bullet Cluster (1E0657-56),,http://admin.masterlens.org/citation.php?referenceID=50&
Bradac et al. 2009 [ApJ706(2009)1201],Focusing Cosmic Telescopes: Exploring Redshift z ~ 5-6 Galaxies with the Bullet Cluster 1E0657 - 56,,http://admin.masterlens.org/citation.php?referenceID=51&
Bradac et al. 2008 [ApJ687(2008)959],Revealing the Properties of Dark Matter in the Merging Cluster MACS J0025.4-1222,,http://admin.masterlens.org/citation.php?referenceID=235&
Clowe et al. 2007 [NuPhS173(2007)28],Catching a bullet: direct evidence for the existence of dark matter,,http://admin.masterlens.org/citation.php?referenceID=47&
Bradac et al. 2006 [ApJ652(2006)937],Strong and Weak Lensing United. III. Measuring the Mass Distribution of the Merging Galaxy Cluster 1ES 0657-558,,http://admin.masterlens.org/citation.php?referenceID=53&
Markevitch et al. 2004 [ApJ606(2004)819],Direct Constraints on the Dark Matter Self-Interaction Cross Section from the Merging Galaxy Cluster 1E 0657-56,,http://admin.masterlens.org/citation.php?referenceID=52&
Mehlert et al. 2001 [A&A379(2001)96],Gravitationally lensed high redshift galaxies in the field of 1E0657-56,,http://admin.masterlens.org/citation.php?referenceID=49&
Tucker et al. 1995 [ApJ444(1995)532],A search for failed clusters of galaxies,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=48&
