,,Mag,No.,z
Lens,0,,1,0.39299999999999996
Source,0,20.2,1,1.5230000000000001
Source,1,19.3,2,1.5230000000000001
Source,2,19.4,3,1.5230000000000001
Source,3,20.2,4,1.5230000000000001
