Band,HST,Filter,Program Observations
V,ACS/WFC (WFC),F555W,HST Program 10493 — PI: Gal-yamHST Program 10793 — PI: Gal-yamHST Program 9722 — PI: Ebeling
I,ACS/WFC (WFC),F814W,HST Program 10493 — PI: Gal-yamHST Program 10793 — PI: Gal-yamHST Program 9722 — PI: Ebeling
