Author,Title,Discovery,Links
Mosquera et al. 2011 [ApJ738(2011)96],The Microlensing Properties of a Sample of 87 Lensed Quasars,,http://admin.masterlens.org/citation.php?referenceID=238&
Chantry et al. 2010 [A&A522(2010)A95],COSMOGRAIL:  the COSmological MOnitoring of GRAvItational Lenses. VIII. Deconvolution of high resolution near-IR images and simple mass models for 7 gravitationally lensed quasars,,http://admin.masterlens.org/citation.php?referenceID=239&
Mediavilla et al. 2009 [ApJ706(2009)1451],Microlensing-based Estimate of the Mass Fraction in Compact Objects in Lens Galaxies,,http://admin.masterlens.org/citation.php?referenceID=764&
Eigenbrod et al. 2006 [A&A451(2006)759],COSMOGRAIL:  the COSmological MOnitoring of GRAvItational Lenses. III. Redshift of the lensing galaxy in eight gravitationally lensed quasars,,http://admin.masterlens.org/citation.php?referenceID=263&
Ofek et al. 2006 [ApJ641(2006)70],Spectroscopic Redshifts for Seven Lens Galaxies,,http://admin.masterlens.org/citation.php?referenceID=236&
Wisotzki et al. 2004 [A&A419(2004)L31],HE 0047-1756: A new gravitationally lensed double QSO,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=237&
