Author,Title,Discovery,Links
Mosquera et al. 2011 [ApJ738(2011)96],The Microlensing Properties of a Sample of 87 Lensed Quasars,,http://admin.masterlens.org/citation.php?referenceID=238&
McGreer et al. 2010 [AstronJ140(2010)370],SDSS J094604.90+183541.8: A Gravitationally Lensed Quasar at z = 4.8,,http://admin.masterlens.org/citation.php?referenceID=22&
Riechers et al. 2008 [ApJ686(2008)851],A Molecular Einstein Ring at z = 4.12: Imaging the Dynamics of a Quasar Host Galaxy Through a Cosmic Lens,,http://admin.masterlens.org/citation.php?referenceID=309&
Ostman et al. 2008 [A&A485(2008)403],Extinction properties of lensing galaxies,,http://admin.masterlens.org/citation.php?referenceID=456&
Auger et al. 2007 [AstronJ134(2007)668],The Gravitational Lens-Galaxy Group Connection. II. Groups Associated with B2319+051 and B1600+434,,http://admin.masterlens.org/citation.php?referenceID=84&
Eigenbrod et al. 2007 [A&A465(2007)51],COSMOGRAIL:  the COSmological MOnitoring of GRAvItational Lenses. VI. Redshift of the lensing galaxy in seven gravitationally lensed quasars,,http://admin.masterlens.org/citation.php?referenceID=262&
Williams et al. 2006 [ApJ646(2006)85],First Results from a Photometric Survey of Strong Gravitational Lens Environments,,http://admin.masterlens.org/citation.php?referenceID=318&
Momcheva et al. 2006 [ApJ641(2006)169],A Spectroscopic Study of the Environments of Gravitational Lens Galaxies,,http://admin.masterlens.org/citation.php?referenceID=279&
Ofek et al. 2006 [ApJ641(2006)70],Spectroscopic Redshifts for Seven Lens Galaxies,,http://admin.masterlens.org/citation.php?referenceID=236&
Cox et al. 2002 [A&A387(2002)406],CO and Dust in PSS 2322+1944 at a redshift of 4.12,,http://admin.masterlens.org/citation.php?referenceID=290&
Kochanek et al. 2000 [ApJ543(2000)131],The Fundamental Plane of Gravitational Lens Galaxies and The Evolution of Early-Type Galaxies in Low-Density Environments,,http://admin.masterlens.org/citation.php?referenceID=302&
Kochanek et al. 2000 [ApJ535(2000)692],The Infrared Einstein Ring in the Gravitational Lens MG J1131+0456 and the Death of the Dusty Lens Hypothesis,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=312&
Leh'ar et al. 2000 [ApJ536(2000)584],Hubble Space Telescope Observations of 10 Two-Image Gravitational Lenses,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=242&
